X,Filing Date,Trade Date,Ticker,Company Name,Industry,Ins,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,Current Price,Price Increase (%),Days Since Trade
,2023-10-10 19:07:33,2023-10-05,BHVN,Biohaven Ltd.,Pharmaceutical Preparations,2,P - Purchase,22.0,"+909,090","9,109,774",+11%,"+$19,999,980",,,,,43.58000183105469,98.09091741388495,91
,2023-10-10 16:05:45,2023-10-06,CODA,"Coda Octopus Group, Inc.","Search, Detection, Navigation, Guidance, Aeronautical Sys",2,P - Purchase,5.99,"+33,000","4,611,280",+1%,"+$197,552",,,,,6.074999809265137,1.419028535311127,90
D,2023-10-13 16:43:01,2023-10-11,QETAU,Quetta Acquisition Corp,Blank Checks,2,P - Purchase,10.0,"+506,090","3,940,090",+15%,"+$5,060,900",,,,,10.229999542236328,2.2999954223632812,85
M,2023-10-25 17:59:04,2023-10-23,NTRS,Northern Trust Corp,State Commercial Banks,3,P - Purchase,64.91,"+26,750","465,885",+6%,"+$1,736,269",,,,,82.70999908447266,27.42258370739895,73
,2023-10-30 06:04:57,2023-10-27,SODI,Solitron Devices Inc,Semiconductors & Related Devices,2,P - Purchase,10.8,"+79,751","519,796",+18%,"+$861,032",,,,,15.25,41.203703703703695,69
M,2023-12-20 16:46:28,2023-10-30,CCIF,Carlyle Credit Income Fund,Closed-End Funds,4,P - Purchase,7.8,"+39,179","39,179",%,"+$305,763",,,,,8.119999885559082,4.102562635372848,66
D,2023-10-31 14:23:48,2023-10-30,CFFN,"Capitol Federal Financial, Inc.","Savings Institution, Federally Chartered",4,P - Purchase,5.07,"+60,000","405,071",+17%,"+$304,060",,,,,6.15500020980835,21.400398615549296,66
,2023-10-31 16:26:31,2023-10-30,SFNC,Simmons First National Corp,National Commercial Banks,2,P - Purchase,14.31,"+12,000","163,353",+8%,"+$171,700",,,,,19.09000015258789,33.40321560159252,66
,2023-11-02 18:08:34,2023-10-31,LC,Lendingclub Corp,Personal Credit Institutions,12,P - Purchase,5.19,"+120,000","2,409,446",+5%,"+$623,109",,,,,8.619999885559082,66.0886297795584,65
,2023-11-02 16:12:56,2023-11-01,ISTR,Investar Holding Corp,State Commercial Banks,2,P - Purchase,9.79,"+6,000","166,120",+4%,"+$58,710",,,,,15.710000038146973,60.46986760109269,64
,2023-11-03 21:03:44,2023-11-02,LXFR,Luxfer Holdings Plc,Industrial Inorganic Chemicals,2,P - Purchase,8.45,"+17,535","149,798",+13%,"+$148,189",,,,,8.569999694824219,1.4201147316475677,63
