X,Filing Date,Trade Date,Ticker,Company Name,Industry,Ins,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
M,2024-05-06 11:59:59,2024-02-29,HWBK,"Hawthorn Bancshares, Inc.",National Commercial Banks,4,P - Purchase,19.58,"+50,100","571,517",+10%,"+$980,725",,,,
D,2024-03-06 16:49:23,2024-03-04,ACHV,"Achieve Life Sciences, Inc.",In Vitro & In Vivo Diagnostic Substances,2,P - Purchase,4.59,"+20,000","115,225",+21%,"+$91,700",,,,
DM,2024-03-07 21:58:50,2024-03-05,PRGO,Perrigo Co Plc,Pharmaceutical Preparations,3,P - Purchase,26.42,"+18,361","61,348",+43%,"+$485,022",,,,
M,2024-04-08 18:52:32,2024-03-05,GEF,"Greif, Inc","Metal Shipping Barrels, Drums, Kegs & Pails",4,P - Purchase,66.38,"+43,365","408,722",+12%,"+$2,878,602",,,,
,2024-03-07 13:45:46,2024-03-06,AMN,Amn Healthcare Services Inc,Help Supply Services,7,P - Purchase,57.0,"+33,943","128,930",+36%,"+$1,934,608",,,,
,2024-03-08 16:05:19,2024-03-06,IRWD,Ironwood Pharmaceuticals Inc,Pharmaceutical Preparations,2,P - Purchase,9.11,"+17,604","422,761",+4%,"+$160,420",,,,
M,2024-03-08 18:54:51,2024-03-06,SLRC,Slr Investment Corp.,Closed-End Funds,2,P - Purchase,15.42,"+405,472","7,751,658",+6%,"+$6,251,808",,,,
,2024-03-07 12:10:27,2024-03-06,D,"Dominion Energy, Inc",Electric Services,2,P - Purchase,46.0,"+23,865","211,198",+13%,"+$1,097,889",,,,
D,2024-03-11 16:57:55,2024-03-07,KDP,Keurig Dr Pepper Inc.,Beverages,5,P - Purchase,29.1,"+605,448","12,000,783",+5%,"+$17,618,577",,,,
,2024-03-11 16:15:28,2024-03-11,ACLS,Axcelis Technologies Inc,Special Industry Machinery,2,P - Purchase,111.67,+940,"77,402",+1%,"+$104,972",,,,
,2024-03-13 18:23:13,2024-03-11,ADV,Advantage Solutions Inc.,Business Services,3,P - Purchase,3.65,"+35,000","2,289,507",+2%,"+$127,594",,,,
M,2024-03-13 19:00:15,2024-03-11,GENK,"Gen Restaurant Group, Inc.",Eating Places,4,P - Purchase,6.13,"+462,372","17,825,320",+3%,"+$2,833,172",,,,
,2024-03-12 21:20:34,2024-03-12,APAC,Stonebridge Acquisition Corp.,Prepackaged Software,2,P - Purchase,1458.09,+340,340,%,"+$495,750",,,,
M,2024-03-13 16:30:11,2024-03-12,MX,Magnachip Semiconductor Corp,Semiconductors & Related Devices,3,P - Purchase,5.59,"+33,826","841,402",+4%,"+$189,144",,,,
,2024-03-14 16:05:08,2024-03-12,PNNT,Pennantpark Investment Corp,Closed-End Funds,2,P - Purchase,6.83,"+12,288","286,990",+4%,"+$83,946",,,,
,2024-05-03 17:01:02,2024-03-13,SAMG,Silvercrest Asset Management Group Inc.,Investment Advice,2,P - Purchase,15.24,"+13,359","961,908",+1%,"+$203,530",,,,
,2024-03-15 16:21:43,2024-03-14,CE,Celanese Corp,"Plastic Material, Synth Resin/Rubber, Cellulos (No Glass)",2,P - Purchase,156.62,"+1,997","68,623",+3%,"+$312,762",,,,
M,2024-03-18 21:01:25,2024-03-15,ASLE,Aersale Corp,"Machinery, Equipment & Supplies",3,P - Purchase,7.17,"+80,077","4,757,618",+2%,"+$573,831",,,,
,2024-03-18 15:27:16,2024-03-15,BTSG,"Brightspring Health Services, Inc.",Home Health Care Services,3,P - Purchase,8.13,"+142,270","1,695,797",+9%,"+$1,155,963",,,,
D,2024-03-19 16:17:31,2024-03-15,CORZ,"Core Scientific, Inc./Tx",Finance Services,5,P - Purchase,3.16,"+390,300","423,003",>999%,"+$1,233,709",,,,
,2024-03-25 18:33:33,2024-03-21,RWAY,Runway Growth Finance Corp.,Closed-End Funds,2,P - Purchase,11.64,"+45,920","477,391",+11%,"+$534,482",,,,
,2024-04-22 16:21:12,2024-03-22,SNDA,"Sonida Senior Living, Inc.",Nursing & Personal Care Facilities,3,P - Purchase,9.74,"+532,663","2,792,079",+24%,"+$5,186,940",,,,
,2024-03-27 16:14:52,2024-03-25,SNOW,Snowflake Inc.,Prepackaged Software,2,P - Purchase,159.13,"+34,572","267,489",+15%,"+$5,501,352",,,,
